NFECHA,IDX,TheYear,TheDate,CANT,DEPARTAMENTO
18 Ene,118,2017,2017-01-18,6,CAJAMARCA
18 Ene,118,2017,2017-01-18,13,CALLAO
18 Ene,118,2017,2017-01-18,14,CUSCO
18 Ene,118,2017,2017-01-18,0,EXTRANJERO
18 Ene,118,2017,2017-01-18,6,HUANCAVELICA
18 Ene,118,2017,2017-01-18,5,HUANUCO
18 Ene,118,2017,2017-01-18,11,ICA
18 Ene,118,2017,2017-01-18,8,JUNIN
18 Ene,118,2017,2017-01-18,27,LA LIBERTAD
18 Ene,118,2017,2017-01-18,26,LAMBAYEQUE
18 Ene,118,2017,2017-01-18,67,LIMA
18 Ene,118,2017,2017-01-18,4,LORETO
18 Ene,118,2017,2017-01-18,4,MADRE DE DIOS
18 Ene,118,2017,2017-01-18,2,MOQUEGUA
18 Ene,118,2017,2017-01-18,1,PASCO
18 Ene,118,2017,2017-01-18,5,PIURA
18 Ene,118,2017,2017-01-18,7,PUNO
18 Ene,118,2017,2017-01-18,6,SAN MARTIN
18 Ene,118,2017,2017-01-18,0,SIN REGISTRO
18 Ene,118,2017,2017-01-18,0,TACNA
18 Ene,118,2017,2017-01-18,4,TUMBES
18 Ene,118,2017,2017-01-18,1,UCAYALI
19 Ene,119,2017,2017-01-19,4,AMAZONAS
19 Ene,119,2017,2017-01-19,12,ANCASH
19 Ene,119,2017,2017-01-19,1,APURIMAC
19 Ene,119,2017,2017-01-19,20,AREQUIPA
19 Ene,119,2017,2017-01-19,0,AYACUCHO
19 Ene,119,2017,2017-01-19,10,CAJAMARCA
19 Ene,119,2017,2017-01-19,10,CALLAO
19 Ene,119,2017,2017-01-19,11,CUSCO
19 Ene,119,2017,2017-01-19,0,EXTRANJERO
19 Ene,119,2017,2017-01-19,2,HUANCAVELICA
19 Ene,119,2017,2017-01-19,7,HUANUCO
19 Ene,119,2017,2017-01-19,9,ICA
19 Ene,119,2017,2017-01-19,12,JUNIN
19 Ene,119,2017,2017-01-19,14,LA LIBERTAD
19 Ene,119,2017,2017-01-19,4,LAMBAYEQUE
19 Ene,119,2017,2017-01-19,84,LIMA
19 Ene,119,2017,2017-01-19,14,LORETO
19 Ene,119,2017,2017-01-19,2,MADRE DE DIOS
19 Ene,119,2017,2017-01-19,1,MOQUEGUA
19 Ene,119,2017,2017-01-19,2,PASCO
19 Ene,119,2017,2017-01-19,8,PIURA
